# Aerial indices for selected spawning areas in the Canadian portion of the Yukon River Drainage,,,,,,,,,
# Overview of site and methods at XYZ,,,,,,,,,
# Year = Run year,,,,,,,,,
# Estimate = run size,,,,,,,,,
# SE = Standard Error calculated based on INSERT,,,,,,,,,
# p10 and p90 = 10th abd 90th percentiles of the ?posterior distribution?,,,,,,,,,
Project,Type,Year,Estimate,SE,p10,p90,QualityRating,Use,UseNotes
WolfAerial,Aerial,1970,71,NA,NA,NA,Poor,FALSE,Poor quality rating
WolfAerial,Aerial,1971,750,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,1972,13,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,1975,40,NA,NA,NA,Poor,FALSE,Poor quality rating
WolfAerial,Aerial,1979,183,NA,NA,NA,Poor,FALSE,Poor quality rating
WolfAerial,Aerial,1980,482,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,1981,502,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,1982,225,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,1983,252,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,1984,374,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,1985,226,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,1986,271,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,1987,39,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,1988,78,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,1989,135,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,1990,380,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,1991,201,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,1992,110,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,1993,168,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,1994,393,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,1995,229,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,1996,705,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,1997,322,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,1998,66,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,1999,131,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,2000,32,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,2001,154,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,2002,84,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,2003,292,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,2004,226,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,2005,260,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,2006,114,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,2007,54,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,2008,22,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,2009,134,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,2010,94,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,2011,81,NA,NA,NA,Acceptable,TRUE,TBI
WolfAerial,Aerial,2020,11,NA,NA,NA,Acceptable,TRUE,TBI
